 FORECAST DATE (15050318) --15km
 24     9.799   138.674   992.373
 30     9.928   138.143   991.294
 36    10.032   137.874   987.698
 42    10.083   137.560   985.636
 48    10.508   136.904   975.369
 54    10.943   136.491   982.958
 60    11.352   135.374   974.284
 66    11.658   134.478   975.703
 72    11.979   133.474   975.300
 78    12.250   132.150   976.852
 84    12.393   130.965   969.323
 90    12.671   129.805   970.924
 96    12.793   128.557   960.730
102    12.997   127.323   957.614
108    13.101   126.241   951.372
114    13.300   125.366   948.365
120    13.654   124.435   951.241
 FORECAST DATE (15050500) --15km
 TYPHOON - NOUL           PS
  0     9.360   139.184   989.816
  6     9.722   138.889   987.939
 12     9.922   138.335   988.192
 18    10.029   137.650   989.091
 24    10.142   137.344   991.965
 30    10.164   136.871   985.144
 36    10.583   136.183   982.874
 42    10.767   135.772   983.673
 48    10.989   135.033   985.716
 54    11.290   134.095   981.526
 60    11.718   133.571   983.130
 66    11.949   132.461   983.080
 72    12.328   131.296   982.693
 78    12.891   130.243   980.056
 84    13.010   128.832   980.512
 90    13.359   127.592   979.345
 96    13.500   126.373   982.227
102    13.700   125.056   976.313
108    13.882   123.924   970.913
114    14.065   122.941   968.432
120    14.378   121.964   965.389
 FORECAST DATE (15050506) --15km
 TYPHOON - NOUL           PS
  0     9.488   138.946   990.891
  6     9.892   138.865   994.238
 12     9.949   137.893   991.022
 18     9.948   137.419   991.573
 24    10.109   136.662   986.441
 30    10.224   136.362   988.745
 36    10.750   135.632   986.850
 42    10.739   134.977   989.862
 48    11.062   134.292   986.228
 54    11.439   133.963   988.568
 60    11.889   133.179   984.674
 66    11.975   132.201   984.094
 72    12.363   130.909   981.558
 78    12.556   129.863   988.519
 84    12.786   128.857   980.956
 90    12.948   127.643   982.494
 96    13.025   126.435   978.317
102    13.136   125.386   979.999
108    13.328   124.356   978.274
114    13.647   123.115   981.047
120    13.831   122.130   967.284
 FORECAST DATE (15050512) --15km
 TYPHOON - NOUL           PS
  0     9.994   138.914   994.003
  6    10.131   137.773   991.722
 12     9.956   137.048   992.399
 18    10.202   136.444   990.224
 24    10.314   135.868   988.268
 30    10.496   135.049   986.377
 36    10.782   134.411   988.097
 42    11.359   134.078   984.154
 48    11.380   133.157   989.256
 54    11.546   132.362   986.362
 60    11.741   131.240   985.199
 66    12.034   130.386   986.429
 72    12.241   129.042   986.004
 78    12.514   127.962   986.200
 84    12.533   126.666   985.018
 90    12.789   125.429   978.669
 96    12.748   124.351   985.606
102    12.848   123.231   984.357
108    13.200   122.229   980.269
114    13.440   121.169   974.313
120    13.892   120.387   961.713
 FORECAST DATE (15050518) --15km
 TYPHOON - NOUL           PS
  0     9.428   140.159   989.773
  6    10.486   137.994   990.195
 12    10.109   136.923   980.704
 18    10.097   136.147   983.986
 24    10.200   135.177   978.295
 30    10.537   134.447   985.173
 36    10.830   133.817   983.199
 42    11.216   133.061   985.122
 48    11.357   132.192   983.456
 54    11.288   131.018   981.184
 60    11.514   129.870   978.231
 66    11.616   128.700   983.888
 72    11.877   127.695   974.531
 78    12.137   126.440   984.990
 84    12.284   125.311   981.231
 90    12.366   124.423   982.772
 96    12.407   123.183   976.201
102    12.361   122.175   972.226
108    12.557   121.321   965.379
114    12.996   120.591   969.086
120    13.792   120.066   961.339
 FORECAST DATE (15050600) --15km
 TYPHOON - NOUL           PS
  0     8.088   136.812   998.277
  6     9.088   137.780   998.516
 12     9.848   136.495   999.236
 18     9.930   135.985   991.373
 24    10.946   135.169   993.368
 30    11.123   134.367   987.192
 36    11.366   132.956   989.792
 42    11.650   132.489   986.325
 48    12.060   131.109   990.582
 54    12.552   130.290   987.189
 60    12.862   128.902   987.986
 66    12.816   128.143   987.715
 72    13.575   127.071   991.242
 78    13.815   125.539   986.460
 84    13.978   124.518   988.070
 90    14.258   123.501   987.586
 96    14.721   122.490   984.130
102    15.280   121.457   983.619
108    16.067   120.615   989.806
114    17.229   120.299   995.024
120    17.588   120.167   995.112
 FORECAST DATE (15050606) --15km
 TYPHOON - NOUL           PS
  0     9.397   135.860   994.081
  6     9.301   135.714   992.358
 12     9.690   135.153   988.777
 18     9.980   134.030   984.230
 24    10.416   133.479   985.621
 30    10.584   132.337   983.108
 36    10.668   131.667   983.482
 42    11.067   130.587   986.681
 48    11.243   129.311   981.753
 54    11.365   128.411   982.979
 60    11.874   127.326   986.091
 66    11.968   126.308   984.692
 72    12.107   125.098   983.582
 78    12.089   124.116   985.598
 84    12.219   123.131   982.380
 90    12.330   121.780   979.505
 96    12.641   120.621   974.452
102    12.831   120.016   964.493
108    13.255   119.191   951.499
114    13.684   118.613   944.694
120    14.079   118.114   942.451
 FORECAST DATE (15050612) --15km
 TYPHOON - NOUL           PS
  0    10.576   136.407   985.531
  6     9.999   134.536   984.254
 12    10.650   133.610   986.541
 18    10.757   132.676   984.639
 24    10.675   132.137   988.866
 30    11.235   131.460   989.719
 36    11.442   130.643   987.816
 42    11.806   129.570   984.317
 48    12.021   128.386   989.263
 54    11.947   127.221   984.665
 60    12.470   126.300   988.586
 66    12.954   124.973   987.401
 72    12.858   123.748   987.005
 78    13.035   122.683   987.424
 84    13.064   121.455   986.845
 90    13.151   120.627   980.119
 96    13.677   119.718   973.332
102    13.931   119.066   964.915
108    14.310   118.573   961.134
114    14.724   118.031   954.475
120    15.124   117.755   958.486
 FORECAST DATE (15050618) --15km
 TYPHOON - NOUL           PS
  0    10.763   136.329   979.593
  6    10.567   134.162   981.781
 12    10.606   133.008   982.353
 18    11.086   132.615   990.311
 24    11.038   131.354   990.590
 30    11.149   130.269   992.081
 36    11.429   129.442   987.115
 42    11.866   128.341   989.772
 48    11.806   127.355   984.464
 54    12.094   126.233   989.648
 60    12.434   125.203   985.006
 66    12.502   124.126   989.412
 72    12.842   123.131   990.354
 78    12.849   121.827   991.581
 84    13.228   120.611   979.315
 90    13.540   119.830   968.350
 96    14.025   118.950   962.342
102    14.603   118.465   961.666
108    15.104   118.007   954.951
114    15.591   117.852   957.431
120    16.137   117.662   954.718
 FORECAST DATE (15050700) --15km
 TYPHOON - NOUL           PS
  0    10.254   134.087   977.119
  6    10.576   133.197   977.002
 12    10.859   132.588   986.996
 18    11.140   131.574   988.044
 24    11.380   130.880   987.099
 30    11.887   129.484   985.125
 36    12.303   128.682   989.792
 42    12.523   127.350   986.766
 48    12.984   126.287   986.706
 54    12.936   125.049   986.491
 60    13.214   124.093   989.312
 66    13.170   123.220   985.531
 72    13.740   122.175   992.321
 78    13.913   121.006   985.471
 84    14.220   120.248   986.344
 90    14.441   119.446   983.919
 96    14.817   118.835   982.223
102    15.251   118.211   972.856
108    16.074   117.922   967.264
114    16.593   117.707   962.717
120    17.145   117.645   963.355
 FORECAST DATE (15050706) --15km
 TYPHOON - NOUL           PS
  0    12.506   132.407   983.708
  6    10.910   131.848   997.048
 12    11.373   131.726   998.814
 18    11.845   130.990  1000.174
 24    12.031   129.644   997.268
 30    12.388   128.652   997.201
 36    13.628   127.837   995.138
 42    14.061   126.329   994.799
 48    14.821   125.409   993.504
 54    15.034   124.760   996.877
 60    15.501   123.706   992.391
 66    15.899   123.004   994.659
 72    16.247   122.119   994.744
 78    17.557   120.734  1002.000
 84    18.274   120.028  1000.102
 90    18.615   120.168  1000.459
 96    19.517   120.149   991.115
102    19.934   120.356   991.307
108    21.088   121.064   987.765
114    22.048   122.147   995.570
120    23.190   123.526   994.147
 FORECAST DATE (15050712) --15km
 TYPHOON - NOUL           PS
  0    12.681   131.644   981.410
  6    11.787   130.316   989.463
 12    11.547   130.033   994.225
 18    11.956   129.372   993.128
 24    12.942   128.655   994.294
 30    13.358   127.625   987.665
 36    13.859   126.818   991.494
 42    14.495   125.768   984.237
 48    14.810   125.078   984.549
 54    15.154   123.840   979.750
 60    15.600   123.009   981.858
 66    16.032   121.875   983.356
 72    16.765   121.178   994.779
 78    17.329   120.078   994.568
 84    17.744   119.999   996.627
 90    18.945   119.733   987.341
 96    19.865   119.927   984.410
102    20.782   120.956   974.933
108    21.556   121.991   983.963
114    22.690   123.450   985.770
120    23.351   124.997   991.200
 FORECAST DATE (15050718) --15km
 TYPHOON - NOUL           PS
  0    12.623   130.033   979.721
  6    11.434   129.269   988.178
 12    11.670   128.898   985.316
 18    12.320   128.407   987.396
 24    13.223   127.422   987.934
 30    13.866   126.454   989.324
 36    14.477   125.502   984.053
 42    15.179   124.375   985.331
 48    15.600   123.336   980.950
 54    15.958   122.249   985.668
 60    16.584   121.570   991.926
 66    17.282   120.229   996.081
 72    17.891   120.260   996.358
 78    18.620   119.363   998.249
 84    19.635   120.732   987.183
 90    20.651   121.064   982.904
 96    21.717   122.101   978.524
102    22.918   123.785   982.837
108    23.952   125.831   983.412
114    24.974   128.039   995.050
120    26.240   131.380   995.786
 FORECAST DATE (15050800) --15km
 TYPHOON - NOUL           PS
  0    12.226   130.270   977.862
  6    12.700   129.217   976.492
 12    13.093   128.202   982.443
 18    13.702   126.987   984.128
 24    14.156   125.898   986.551
 30    14.277   124.861   979.281
 36    14.632   124.203   983.893
 42    14.932   123.204   981.577
 48    15.468   122.334   982.891
 54    16.400   121.463   988.099
 60    16.950   120.233   998.664
 66    17.485   119.104   997.508
 72    18.037   119.813   999.490
 78    19.455   119.760   993.136
 84    20.258   119.711   988.271
 90    20.802   120.481   989.385
 96    21.893   121.965   987.661
102    22.651   123.312   991.059
108    23.406   124.682   996.133
114    24.856   127.073   995.463
120    25.900   128.236  1001.633
 FORECAST DATE (15050806) --15km
 TYPHOON - NOUL           PS
  0    12.611   129.130   971.751
  6    13.115   128.122   978.010
 12    13.503   127.036   982.531
 18    14.056   125.988   984.201
 24    14.458   124.656   984.566
 30    14.723   123.902   985.898
 36    14.774   123.032   983.209
 42    15.504   122.277   984.167
 48    16.232   121.244   991.438
 54    17.158   120.012   998.629
 60    18.101   119.536   996.122
 66    18.947   119.777   994.975
 72    20.068   120.258   984.888
 78    21.037   120.957   987.780
 84    22.620   122.168   983.545
 90    23.953   124.038   984.746
 96    24.946   126.750   988.827
102    26.678   130.804   997.505
108    27.865   134.454   998.693
114    29.766   137.721  1004.792
120  -999.000  -999.000  -999.000  -999.000  -999.000
 FORECAST DATE (15050812) --15km
 TYPHOON - NOUL           PS
  0    14.540   127.779   973.361
  6    13.753   126.464   989.272
 12    14.211   125.534   988.257
 18    14.724   124.742   988.421
 24    15.131   124.255   985.079
 30    16.026   123.378   986.542
 36    16.928   122.427   990.424
 42    17.497   121.410   996.514
 48    18.361   120.206   996.764
 54    18.923   119.599   995.994
 60    19.629   120.395   993.771
 66    20.676   120.479   985.927
 72    21.994   121.475   992.655
 78    23.284   122.992   987.209
 84    24.886   124.987   989.987
 90    26.397   128.290   993.200
 96    28.838   132.552   999.340
102    30.513   136.943   998.003
108    32.855   141.477  1001.031
120  -999.000  -999.000  -999.000  -999.000  -999.000
120  -999.000  -999.000  -999.000  -999.000  -999.000
 FORECAST DATE (15050818) --15km
 TYPHOON - NOUL           PS
  0    15.161   127.410   952.277
  6    15.416   125.552   978.002
 12    15.408   124.629   978.264
 18    15.461   124.469   985.460
 24    15.923   124.141   988.261
 30    16.760   123.787   989.516
 36    17.984   123.294   981.296
 42    18.951   122.767   974.848
 48    19.749   122.114   981.395
 54    20.564   122.102   985.176
 60    21.436   122.625   984.881
 66    22.198   123.222   997.169
 72    24.016   124.647   995.996
 78    26.189   127.286   994.962
 84    28.106   130.461   994.454
 90    30.555   134.791   999.521
 96    32.768   139.705   995.931
102    36.047   143.790   995.699
108  -999.000  -999.000  -999.000  -999.000  -999.000
114  -999.000  -999.000  -999.000  -999.000  -999.000
120  -999.000  -999.000  -999.000  -999.000  -999.000
 FORECAST DATE (15050900) --15km
 TYPHOON - NOUL           PS
  0    14.131   125.916   972.943
  6    14.592   125.093   972.654
 12    15.039   124.484   965.756
 18    15.403   123.905   969.134
 24    15.836   123.289   972.152
 30    16.556   122.569   974.994
 36    17.159   121.681   986.586
 42    17.868   120.459   994.901
 48    18.538   120.139   995.965
 54    19.319   120.726   988.838
 60    20.141   120.584   990.773
 66    21.370   121.406   993.093
 72    22.128   122.281   996.408
 78    22.745   123.292   997.296
 84    23.398   124.608  1001.165
 90    24.435   126.489   997.303
 96    25.171   128.206   993.930
102    25.778   130.697   995.643
108    26.543   131.702  1005.984
114  -999.000  -999.000  -999.000  -999.000  -999.000
120  -999.000  -999.000  -999.000  -999.000  -999.000
 FORECAST DATE (15050906) --15km
 TYPHOON - NOUL           PS
  0    14.849   125.136   976.669
  6    15.288   124.539   981.148
 12    15.694   123.992   975.836
 18    16.192   123.569   974.080
 24    16.959   123.061   972.993
 30    17.556   122.563   975.758
 36    18.431   122.101   978.480
 42    18.880   121.610   981.930
 48    19.485   121.962   980.840
 54    20.766   122.065   992.819
 60    21.643   123.050   995.195
 66    22.573   124.124   993.403
 72    23.262   125.312   997.266
 78    24.166   126.910   999.997
 84    24.766   128.400   999.162
102  -999.000  -999.000  -999.000  -999.000  -999.000
102  -999.000  -999.000  -999.000  -999.000  -999.000
102  -999.000  -999.000  -999.000  -999.000  -999.000
108  -999.000  -999.000  -999.000  -999.000  -999.000
114  -999.000  -999.000  -999.000  -999.000  -999.000
120  -999.000  -999.000  -999.000  -999.000  -999.000
best
        9.3     140.7       15050318
        9.5     140.1       15050400
        9.5     139.9       15050406
        9.6     139.6       15050412
        9.6     139.5       15050418
        9.5     138.9       15050500
        9.6     138.8       15050506
        9.6     138.7       15050512
        9.5     138.4       15050518
        9.3     137.6       15050600
        9.5     136.8       15050606
        9.9     136.0       15050612
       10.1     135.2       15050618
       10.5     134.3       15050700
       11.3     133.1       15050706
       11.6     132.1       15050712
       11.8     131.1       15050718
       12.0     130.2       15050800
       12.5     129.2       15050806
       13.4     128.0       15050812 
       13.9     127.2       15050818 
       14.3     126.4       15050900 
       14.9     125.2       15050906 
       15.4     124.6       15050912 
       16.1     123.9       15050918 
       17.0     123.3       15051000 
       17.9     122.6       15051006 
       18.6     122.4       15051012 
       19.6     122.1       15051018 
       20.7     122.1       15051100 
       22.0     122.7       15051106
       23.3     123.9       15051112
       25.9     125.8       15051118
       99.9
