 FORECAST DATE (16070300)  WA02    TYPHOON - NEPARTAK           PS       
 TYPHOON - NEPARTAK       TYPHOON - NEPARTAK           PSmin  Vmax(m/s) speed(km/hr)
 90    23.673   119.553   984.291    19.598     8.056
 96    24.062   119.923   986.896    18.028     9.538
102    25.472   119.864   986.625    19.024    26.113
108    26.307   119.695   989.006    18.872    15.711
114    26.622   120.186   988.349    18.362    10.001
120    27.971   121.445   988.336    20.810    32.472
 FORECAST DATE (16070418)  WA02    TYPHOON - NEPARTAK           PS       
 TYPHOON - NEPARTAK       TYPHOON - NEPARTAK           PSmin  Vmax(m/s) speed(km/hr)
  0    14.400   138.300   980.000  -999.000  -999.000
  6    14.963   137.079  -999.000  -999.000    24.230
 12    15.839   135.803  -999.000  -999.000    27.965
 18    16.846   134.146   986.804    33.436    34.848
 24    17.703   132.427   978.231    35.253    34.293
 30    18.674   130.856   974.186    37.979    32.966
 36    19.705   129.280   962.973    44.529    33.521
 42    20.670   127.538   960.832    46.276    35.157
 48    21.459   125.818   956.039    45.369    33.120
 54    22.132   124.266   955.164    45.614    29.447
 60    22.664   123.059   947.816    45.463    22.903
 66    23.325   122.092   953.982    45.412    20.526
 72    23.853   120.364   976.563    32.487    30.928
 78    23.998   119.897   982.028    25.497     8.334
 84    24.267   119.485   981.148    26.294     8.581
 90    24.438   119.437   983.131    24.649     3.148
 96    25.302   119.658   984.574    22.909    16.421
102    26.597   119.637   989.814    20.113    23.983
108    26.977   119.591   990.866    15.927     7.038
114    27.507   120.191   992.892    18.425    13.921
120    28.075   120.893   989.755    18.831    15.588
 FORECAST DATE (16070500)  WA02    TYPHOON - NEPARTAK           PS       
 TYPHOON - NEPARTAK       TYPHOON - NEPARTAK           PSmin  Vmax(m/s) speed(km/hr)
  0    15.200   136.500   970.000  -999.000  -999.000
  6    15.897   134.997  -999.000  -999.000    29.755
 12    16.802   133.478   989.162    33.293    31.762
 18    17.919   131.781   981.283    37.050    36.423
 24    18.780   129.917   973.810    41.234    36.423
 30    19.713   128.477   969.257    44.465    30.558
 36    20.390   126.780   966.367    40.993    32.070
 42    20.967   125.355   956.461    44.506    26.916
 48    21.309   123.968   954.603    45.191    24.786
 54    21.554   122.993   943.022    47.165    17.409
 60    21.928   122.392   944.967    47.481    12.439
 66    22.719   121.666   951.517    43.752    19.230
 72    23.451   120.350   979.128    28.085    26.206
 78    24.452   120.592   982.946    28.588    18.983
 84    25.067   120.358   983.610    26.413    12.038
 90    24.536   120.213   982.361    23.017    10.124
 96    25.873   119.977   983.478    24.273    25.095
102    26.713   119.936   982.454    22.836    15.557
108    27.591   120.406   985.413    21.497    18.026
114    29.015   120.887   984.736    23.164    27.502
120    29.718   122.030   983.146    23.926    22.594
 FORECAST DATE (16070506)  WA02    TYPHOON - NEPARTAK           PS       
 TYPHOON - NEPARTAK       TYPHOON - NEPARTAK           PSmin  Vmax(m/s) speed(km/hr)
  0    16.200   135.000   955.000  -999.000  -999.000
  6    17.287   133.258   984.696    37.997    36.855
 12    18.097   131.461   973.795    39.144    35.065
 18    18.903   129.537   968.284    42.758    36.947
 24    19.624   127.883   961.902    43.934    31.854
 30    20.160   126.479   965.459    41.803    26.391
 36    20.520   124.945   965.588    39.444    27.440
 42    20.703   123.663   961.040    42.609    22.471
 48    20.839   122.714   954.429    44.195    16.637
 54    21.254   121.954   955.993    43.634    15.217
 60    21.529   121.284   961.321    42.670    12.624
 66    21.861   120.652   967.764    35.659    12.501
 72    22.308   119.960   970.041    32.409    14.446
 78    22.642   119.644   973.572    30.598     8.211
 84    23.143   119.372   973.474    28.738    10.371
 90    23.802   119.354   975.050    31.621    12.192
 96    24.589   119.519   971.471    32.858    14.847
102    25.497   119.969   972.567    30.803    18.427
108    26.533   120.488   969.353    33.811    21.020
114    27.525   121.329   970.711    34.445    23.027
120    28.364   122.444   971.219    36.020    23.953
 FORECAST DATE (16070512)  WA02    TYPHOON - NEPARTAK           PS       
 TYPHOON - NEPARTAK       TYPHOON - NEPARTAK           PSmin  Vmax(m/s) speed(km/hr)
  0    16.860   133.514   983.111    33.779  -999.000
  6    17.610   131.818   968.931    42.407    33.058
 12    18.369   130.304   962.988    44.807    30.157
 18    19.257   128.828   961.951    42.810    30.651
 24    19.844   127.287   964.676    40.692    29.015
 30    20.223   125.842   959.036    42.708    26.113
 36    20.605   124.600   958.792    42.267    22.687
 42    20.792   123.568   952.930    45.093    18.211
 48    21.039   122.901   951.381    44.594    12.408
 54    21.486   122.357   952.149    46.862    12.532
 60    22.040   121.708   957.012    42.384    15.156
 66    22.472   121.118   968.118    32.990    12.902
 72    23.743   120.393   980.518    26.431    26.576
 78    24.531   120.179   982.513    25.821    15.032
 84    24.827   120.326   982.679    27.440     6.019
 90    25.625   120.482   979.652    29.726    15.001
 96    26.598   120.829   981.395    26.833    18.921
102    27.781   121.288   978.850    26.483    23.181
108    29.057   122.356   980.225    26.036    29.354
114    30.467   123.284   977.064    28.810    30.064
120    31.573   124.937   979.739    24.112    33.274
 FORECAST DATE (16070518)  WA02    TYPHOON - NEPARTAK           PS       
 TYPHOON - NEPARTAK       TYPHOON - NEPARTAK           PSmin  Vmax(m/s) speed(km/hr)
  0    17.936   131.640   972.982    39.190  -999.000
  6    18.596   130.106   967.278    41.529    29.601
 12    19.264   128.712   964.803    41.514    27.379
 18    19.898   127.176   965.624    37.903    29.262
 24    20.383   126.042   961.516    41.942    21.668
